st,year,migrated,stayed,all
AL,2011,51971,1584665,1636636
AK,2011,19446,258223,277669
AZ,2011,91135,2121852,2212987
AR,2011,33258,944195,977453
CA,2011,266673,13084530,13351203
CO,2011,77566,1795419,1872985
CT,2011,46576,1367856,1414432
DE,2011,15487,335499,350986
DC,2011,28683,237523,266206
FL,2011,313337,6986744,7300081
GA,2011,145605,3297861,3443466
HI,2011,26446,519186,545632
ID,2011,23936,517231,541167
IL,2011,131327,4783295,4914622
IN,2011,63189,2337677,2400866
IA,2011,32560,1116098,1148658
KS,2011,42718,1007495,1050213
KY,2011,45680,1453375,1499055
LA,2011,45307,1494882,1540189
ME,2011,14921,497401,512322
MD,2011,84380,2151774,2236154
MA,2011,75810,2506803,2582613
MI,2011,81949,3584920,3666869
MN,2011,49291,1998905,2048196
MS,2011,34328,955589,989917
MO,2011,66821,2086044,2152865
MT,2011,15612,369539,385151
NE,2011,21792,668413,690205
NV,2011,53765,976852,1030617
NH,2011,22413,518129,540542
NJ,2011,112077,3315529,3427606
NM,2011,32617,708371,740988
NY,2011,220982,7286027,7507009
NC,2011,117792,3231903,3349695
ND,2011,12177,257259,269436
OH,2011,97891,4313539,4411430
OK,2011,41083,1211375,1252458
OR,2011,49580,1354341,1403921
PA,2011,119764,4853289,4973053
RI,2011,16245,398819,415064
SC,2011,59994,1577858,1637852
SD,2011,13428,300575,314003
TN,2011,76548,2203965,2280513
TX,2011,208259,8433366,8641625
UT,2011,32354,875508,907862
VT,2011,10358,253418,263776
VA,2011,125683,2831718,2957401
WA,2011,91642,2489215,2580857
WV,2011,20272,624194,644466
WI,2011,49626,2186901,2236527
WY,2011,14651,209678,224329
AL,2012,50379,1581562,1631941
AK,2012,20763,257450,278213
AZ,2012,94533,2137465,2231998
AR,2012,33321,941087,974408
CA,2012,280002,13148643,13428645
CO,2012,82365,1806505,1888870
CT,2012,48362,1365345,1413707
DE,2012,14934,337313,352247
DC,2012,29841,239899,269740
FL,2012,286919,6941526,7228445
GA,2012,137632,3156705,3294337
HI,2012,27856,522868,550724
ID,2012,23602,520985,544587
IL,2012,138121,4772443,4910564
IN,2012,63575,2347759,2411334
IA,2012,32761,1119331,1152092
KS,2012,45018,1016593,1061611
KY,2012,47089,1454864,1501953
LA,2012,46946,1499022,1545968
ME,2012,15401,497811,513212
MD,2012,89008,2161024,2250032
MA,2012,77705,2514484,2592189
MI,2012,80419,3585201,3665620
MN,2012,51231,2009887,2061118
MS,2012,34328,952394,986722
MO,2012,67431,2086404,2153835
MT,2012,15793,371250,387043
NE,2012,22429,672643,695072
NV,2012,55082,981553,1036635
NH,2012,22896,520435,543331
NJ,2012,109843,3310234,3420077
NM,2012,33354,702730,736084
NY,2012,219652,7314046,7533698
NC,2012,121648,3251355,3373003
ND,2012,14017,262913,276930
OH,2012,97920,4313334,4411254
OK,2012,42100,1214589,1256689
OR,2012,50876,1356178,1407054
PA,2012,120310,4851974,4972284
RI,2012,16075,398640,414715
SC,2012,59898,1581071,1640969
SD,2012,14323,304486,318809
TN,2012,79671,2213171,2292842
TX,2012,219416,8560970,8780386
UT,2012,33575,883831,917406
VT,2012,10213,254197,264410
VA,2012,131872,2842633,2974505
WA,2012,93456,2504989,2598445
WV,2012,20918,623548,644466
WI,2012,52097,2192045,2244142
WY,2012,16277,210979,227256
AL,2013,47342,1580065,1627407
AK,2013,19096,259665,278761
AZ,2013,85908,2165296,2251204
AR,2013,31587,940560,972147
CA,2013,268472,13289353,13557825
CO,2013,78247,1845747,1923994
CT,2013,46692,1367357,1414049
DE,2013,14595,340178,354773
DC,2013,28166,243375,271541
FL,2013,239441,7012089,7251530
GA,2013,123110,3174161,3297271
HI,2013,27228,529559,556787
ID,2013,22648,529688,552336
IL,2013,134606,4781478,4916084
IN,2013,61215,2366933,2428148
IA,2013,31423,1129210,1160633
KS,2013,42343,1019161,1061504
KY,2013,44907,1463477,1508384
LA,2013,44002,1517056,1561058
ME,2013,14310,500174,514484
MD,2013,85387,2184032,2269419
MA,2013,75295,2539722,2615017
MI,2013,76962,3598621,3675583
MN,2013,49797,2039343,2089140
MS,2013,32801,952984,985785
MO,2013,64987,2097523,2162510
MT,2013,15430,376543,391973
NE,2013,21458,680685,702143
NV,2013,48667,998824,1047491
NH,2013,21289,525205,546494
NJ,2013,106155,3319345,3425500
NM,2013,31759,701533,733292
NY,2013,210810,7371599,7582409
NC,2013,116638,3291946,3408584
ND,2013,14946,271083,286029
OH,2013,92634,4337523,4430157
OK,2013,40104,1226569,1266673
OR,2013,46702,1371053,1417755
PA,2013,115170,4858301,4973471
RI,2013,15283,401380,416663
SC,2013,56978,1596708,1653686
SD,2013,12935,309854,322789
TN,2013,73297,2233176,2306473
TX,2013,202495,8740404,8942899
UT,2013,32108,899505,931613
VT,2013,10011,255942,265953
VA,2013,131340,2872327,3003667
WA,2013,85001,2539379,2624380
WV,2013,19488,627221,646709
WI,2013,50390,2210165,2260555
WY,2013,13960,212527,226487
AL,2014,35681,1598458,1634139
AK,2014,13405,265963,279368
AZ,2014,63693,2229625,2293318
AR,2014,23374,954334,977708
CA,2014,212337,13658090,13870427
CO,2014,56653,1932425,1989078
CT,2014,36505,1383786,1420291
DE,2014,11203,347432,358635
DC,2014,21005,255331,276336
FL,2014,177001,7246289,7423290
GA,2014,92287,3266790,3359077
HI,2014,20966,542461,563427
ID,2014,17022,546985,564007
IL,2014,99608,4857323,4956931
IN,2014,45788,2413153,2458941
IA,2014,22843,1153911,1176754
KS,2014,30020,1043675,1073695
KY,2014,33426,1486245,1519671
LA,2014,33726,1543341,1577067
ME,2014,11142,509468,520610
MD,2014,68384,2244389,2312773
MA,2014,56998,2610091,2667089
MI,2014,56544,3663023,3719567
MN,2014,36557,2103548,2140105
MS,2014,25860,963915,989775
MO,2014,47571,2135644,2183215
MT,2014,11002,385518,396520
NE,2014,15645,698628,714273
NV,2014,36257,1031245,1067502
NH,2014,16350,536815,553165
NJ,2014,85854,3375608,3461462
NM,2014,24125,711555,735680
NY,2014,167990,7522592,7690582
NC,2014,85926,3385275,3471201
ND,2014,11808,283016,294824
OH,2014,68390,4407336,4475726
OK,2014,30442,1251228,1281670
OR,2014,35208,1413621,1448829
PA,2014,86354,4921106,5007460
RI,2014,11913,409163,421076
SC,2014,42847,1635884,1678731
SD,2014,9330,319174,328504
TN,2014,54803,2284202,2339005
TX,2014,195322,9048226,9243548
UT,2014,22938,929882,952820
VT,2014,7620,260357,267977
VA,2014,91471,2964636,3056107
WA,2014,62280,2615285,2677565
WV,2014,14869,631644,646513
WI,2014,36700,2252810,2289510
WY,2014,9834,216928,226762
