Country,Year,Population,Area_sq_km,Density
Reunion,2016,850996,2511,340
Martinique,2016,385551,128,340
Guadeloupe,2016,402119,1628,250
Myanmar,2016,54616716,653508,83.6
CzechRepublic,2016,10660932,77247,138
FederatedStatesofMicronesia,2016,104719,702,149.2
GreatBritain,2016,64430428,241930,266.3
FrenchGuiana,2016,250109,83534,3
Afghanistan,2016,33332025,652230,51.1
Albania,2016,3038594,27398,110.9
Algeria,2016,40263711,2381741,16.9
AmericanSamoa,2016,52165,199,262.1
Andorra,2016,85660,468,183
Angola,2016,28289713,1246700,22.7
Anguilla,2016,16752,91,184.1
AntiguaandBarbuda,2016,93581,443,211.4
Argentina,2016,43886748,2736690,16
Armenia,2016,3051250,28203,108.2
Aruba,2016,113648,180,631.4
Australia,2016,22992654,7682300,3
Austria,2016,8711770,82445,105.7
Azerbaijan,2016,9872765,82629,119.5
Bahamas,2016,327316,10010,32.7
Bahrain,2016,1378904,760,1814.3
Bangladesh,2016,156186882,130170,1199.9
Barbados,2016,291495,430,677.9
Belarus,2016,9570376,202900,47.2
Belgium,2016,11409077,30278,376.8
Belize,2016,353858,22806,15.5
Benin,2016,10741458,110622,97.1
Bermuda,2016,70537,54,1306.2
Bhutan,2016,750125,38394,19.5
Bolivia,2016,10969649,1083301,10.1
BosniaandHerzegovina,2016,3861912,51187,75.4
Botswana,2016,2180597,566730,3.8
Brazil,2016,205823665,8358140,24.6
Brunei,2016,436620,5265,82.9
Bulgaria,2016,7144653,108489,65.9
BurkinaFaso,2016,19512533,273800,71.3
Burma,2016,54616716,653508,83.6
Burundi,2016,11099298,25680,432.2
CaboVerde,2016,553432,4033,137.2
CapeVerde,2016,553432,4033,137.2
Cambodia,2016,15957223,176515,90.4
Cameroon,2016,24360803,472710,51.5
Canada,2016,35362905,9093507,3.9
CaymanIslands,2016,57268,264,216.9
CentralAfricanRepublic,2016,5507257,622984,8.8
Chad,2016,11852462,1259200,9.4
Chile,2016,17650114,743812,23.7
China,2016,1373541278,9326410,147.3
Colombia,2016,47220856,1038700,45.5
Comoros,2016,794678,2235,355.6
RepublicoftheCongo,2016,4852412,341500,14.2
Congo(Brazzaville),2016,4852412,341500,14.2
DemocraticRepublicoftheCongo,2016,81331050,2267048,35.9
Congo(Kinshasa),2016,81331050,2267048,35.9
CookIslands,2016,9556,236,40.5
CostaRica,2016,4872543,51060,95.4
IvoryCoast,2016,23740424,318003,74.7
Croatia,2016,4313707,55974,77.1
Cuba,2016,11179995,109820,101.8
Curacao,2016,149035,444,335.7
Cyprus,2016,1205575,9241,130.5
Czechia,2016,10660932,77247,138
Denmark,2016,5593785,42434,131.8
Djibouti,2016,846687,23180,36.5
Dominica,2016,73757,751,98.2
DominicanRepublic,2016,10606865,48320,219.5
Ecuador,2016,16080778,276841,58.1
Egypt,2016,94666993,995450,95.1
ElSalvador,2016,6156670,20721,297.1
EquatorialGuinea,2016,759451,28051,27.1
Eritrea,2016,5869869,101000,58.1
Estonia,2016,1258545,42388,29.7
Ethiopia,2016,102374044,1000000,102.4
FaroeIslands,2016,50456,1393,36.2
Fiji,2016,915303,18274,50.1
Finland,2016,5498211,303815,18.1
France,2016,66836154,640427,104.4
FrenchPolynesia,2016,285321,3827,74.6
Gabon,2016,1738541,257667,6.7
Gambia,2016,2009648,10120,198.6
GazaStrip,2016,1753327,360,4870.4
Georgia,2016,4928052,69700,70.7
Germany,2016,80722792,348672,231.5
Ghana,2016,26908262,227533,118.3
Gibraltar,2016,29328,7,4512
Greece,2016,10773253,130647,82.5
Greenland,2016,57728,2166086,0
Grenada,2016,111219,344,323.3
Guam,2016,166898,544,306.8
Guatemala,2016,15189958,107159,141.8
Guernsey,2016,66297,78,850
Guinea,2016,12093349,245717,49.2
Guinea-Bissau,2016,1759159,28120,62.6
Guyana,2016,735909,196849,3.7
Haiti,2016,10485800,27560,380.5
Honduras,2016,8893259,111890,79.5
HongKong,2016,7167403,1073,6679.8
Hungary,2016,9874784,89608,110.2
Iceland,2016,335878,100250,3.4
India,2016,1266883598,2973193,426.1
Indonesia,2016,258316051,1811569,142.6
Iran,2016,80987449,1531595,52.9
Iraq,2016,38146025,437367,87.2
Ireland,2016,4952473,68883,71.9
IsleofMan,2016,88195,572,154.2
Israel,2016,8174527,20330,402.1
Italy,2016,62007540,294140,210.8
Jamaica,2016,2970340,10831,274.2
Japan,2016,126702133,364485,347.6
Jersey,2016,98069,116,845.4
Jordan,2016,10041098,88802,113.1
Kazakhstan,2016,18360353,2699700,6.8
Kenya,2016,46790758,569140,82.2
Kiribati,2016,106925,811,131.8
NorthKorea,2016,25115311,120408,208.6
SouthKorea,2016,50924172,96920,525.4
Kosovo,2016,1883018,10887,173
Kuwait,2016,2832776,17818,159
Kyrgyzstan,2016,5727553,191801,29.9
Laos,2016,7019073,230800,30.4
Latvia,2016,1965686,62249,31.6
Lebanon,2016,6237738,10230,609.7
Lesotho,2016,1953070,30355,64.3
Liberia,2016,4575528,96320,47.5
Libya,2016,6541948,1759540,3.7
Liechtenstein,2016,37937,160,237.1
Lithuania,2016,2854235,62680,45.5
Luxembourg,2016,582291,2586,225.2
Macau,2016,597425,28,21185.3
Macedonia,2016,2100025,25433,82.6
Madagascar,2016,24430325,581540,42
Malawi,2016,18570321,94080,197.4
Malaysia,2016,30949962,328657,94.2
Maldives,2016,392960,298,1318.7
Mali,2016,17352160,1220190,14.2
Malta,2016,415196,316,1313.9
MarshallIslands,2016,73376,181,405.4
Mauritania,2016,3677293,1030700,3.6
Mauritius,2016,1348242,2030,664.2
Mexico,2016,123166749,1943945,63.4
"Micronesia,FederatedStatesof",2016,104719,702,149.2
Moldova,2016,3510485,32891,106.7
Monaco,2016,30581,2,15290.5
Mongolia,2016,3031330,1553556,2
Montenegro,2016,644578,13452,47.9
Montserrat,2016,5267,102,51.6
Morocco,2016,33655786,446300,75.4
Mozambique,2016,25930150,786380,33
Namibia,2016,2436469,823290,3
Nauru,2016,9591,21,456.7
Nepal,2016,29033914,143351,202.5
Netherlands,2016,17016967,33893,502.1
NewCaledonia,2016,275355,18275,15.1
NewZealand,2016,4474549,264537,16.9
Nicaragua,2016,5966798,119990,49.7
Niger,2016,18638600,1266700,14.7
Nigeria,2016,186053386,910768,204.3
NorthernMarianaIslands,2016,52524,464,113.2
Norway,2016,5265158,304282,17.3
Oman,2016,3355262,309500,10.8
Pakistan,2016,201995540,770875,262
Palau,2016,21347,459,46.5
Panama,2016,3705246,74340,49.8
PapuaNewGuinea,2016,6791317,452860,15
Paraguay,2016,6862812,397302,17.3
Peru,2016,30741062,1279996,24
Philippines,2016,102624209,298170,344.2
Poland,2016,38523261,304255,126.6
Portugal,2016,10833816,91470,118.4
PuertoRico,2016,3411489,8870,384.6
Qatar,2016,2258283,11586,194.9
Romania,2016,21599736,229891,94
Russia,2016,142355415,16377742,8.7
Rwanda,2016,11604797,24668,470.4
SaintBarthelemy,2016,7209,25,288.4
"SaintHelena,Ascension,andTristandaCunha",2016,7813,308,25.4
SaintKittsandNevis,2016,52329,261,200.5
SaintLucia,2016,164464,606,271.4
SaintMartin,2016,31949,54,587.3
SaintPierreandMiquelon,2016,5595,242,23.1
SaintVincentandtheGrenadines,2016,102350,389,263.1
Samoa,2016,198926,2821,70.5
SanMarino,2016,33285,61,545.7
SaoTomeandPrincipe,2016,197541,964,204.9
SaudiArabia,2016,28160273,2149690,13.1
Senegal,2016,14320055,192530,74.4
Serbia,2016,7143921,77474,92.2
Seychelles,2016,93186,455,204.8
SierraLeone,2016,6018888,71620,84
Singapore,2016,5781728,687,8415.9
SintMaarten,2016,41486,34,1220.2
Slovakia,2016,5445802,48105,113.2
Slovenia,2016,1978029,20151,98.2
SolomonIslands,2016,635027,27986,22.7
Somalia,2016,10817354,627337,17.2
SouthAfrica,2016,54300704,1214470,44.7
SouthSudan,2016,12530717,644329,19.4
Spain,2016,48563476,498980,97.3
SriLanka,2016,22235000,64630,344
Sudan,2016,36729501,1861484,19.7
Suriname,2016,585824,156000,3.8
Swaziland,2016,1451428,17204,84.4
Sweden,2016,9880604,410335,24.1
Switzerland,2016,8179294,39997,204.5
Syria,2016,17185170,183630,93.6
Taiwan,2016,23464787,32260,727.4
Tajikistan,2016,8330946,141510,58.9
Tanzania,2016,52482726,885800,59.2
Thailand,2016,68200824,510890,133.5
Timor-Leste,2016,1261072,14874,84.8
Togo,2016,7756937,54385,142.6
Tonga,2016,106513,717,148.6
TrinidadandTobago,2016,1220479,5128,238
Tunisia,2016,11285452,155360,72.6
Turkey,2016,80274604,769632,104.3
Turkmenistan,2016,5291317,469930,11.3
TurksandCaicosIslands,2016,51430,948,54.3
Tuvalu,2016,10959,26,421.5
Uganda,2016,38319241,197100,194.4
Ukraine,2016,44209733,579330,76.3
UnitedArabEmirates,2016,5927482,83600,70.9
UnitedKingdom,2016,64430428,241930,266.3
UnitedStates,2016,323127513,9147593,35.3
Uruguay,2016,3351016,175015,19.1
Uzbekistan,2016,29473614,425400,69.3
Vanuatu,2016,277554,12189,22.8
Venezuela,2016,30912302,882050,35
Vietnam,2016,95261021,310070,307.2
BritishVirginIslands,2016,34232,151,226.7
U.S.VirginIslands,2016,107510,346,310.7
WallisandFutuna,2016,15664,142,110.3
WestBank,2016,2697687,5640,478.3
WesternSahara,2016,587020,266000,2.2
Yemen,2016,27392779,527968,51.9
Zambia,2016,15510711,743398,20.9
Zimbabwe,2016,13600580,386847,35.2
